#
# Polblog Directed graph - clustering coefficient. G(1490, 19090). Average clustering: 0.0210  OpenTriads: 1818150 (0.9961)  ClosedTriads: 7186 (0.0039) (Sat Mar  7 19:35:42 2020)
#
# Node degree	Average clustering coefficient
0	0
1	0
2	0.0210526
3	0.0666667
4	0.0628931
5	0.03
6	0.0308943
7	0.0257703
8	0.0291461
9	0.0265377
10	0.0296296
11	0.0330928
12	0.04329
13	0.0336936
14	0.0319414
15	0.0240188
16	0.0487351
17	0.0345269
18	0.0355392
19	0.0243808
20	0.0244265
21	0.0227496
22	0.023539
23	0.0195746
24	0.0224802
25	0.0187371
26	0.0202244
27	0.0167806
28	0.0162037
29	0.0133005
30	0.0215107
31	0.0266593
32	0.0221774
33	0.0287247
34	0.0253899
35	0.0290325
36	0.0241623
37	0.022308
38	0.0192649
39	0.0180499
40	0.019391
41	0.0172256
42	0.0247387
43	0.0210518
44	0.0216702
45	0.0164983
46	0.0213841
47	0.0185014
48	0.0189495
49	0.0212585
50	0.0199184
51	0.0154729
52	0.018009
53	0.0170537
54	0.0145003
55	0.0223207
56	0.00887145
57	0.0166917
58	0.0227869
59	0.0184906
60	0.0165725
61	0.00896777
62	0.0257359
63	0.0180236
64	0.0545635
65	0.0197115
66	0.0114219
67	0.0104025
68	0.0144864
69	0.0144864
70	0.0218081
71	0.0205231
72	0.0156495
73	0.0143846
74	0.0124645
75	0.00468468
76	0.00929825
77	0.0151515
78	0.0204795
79	0.0166416
80	0.0198312
81	0.0133595
82	0.00451671
83	0.00587717
84	0.0375789
85	0.0203548
86	0.0183311
87	0.0179096
88	0.0195925
89	0.0128192
90	0.0144819
91	0.0236264
92	0.0229336
93	0.0140252
94	0.0123542
95	0.0224711
96	0.0107332
97	0.00805412
98	0.0156392
99	0.0119563
100	0.0152814
102	0.0115188
103	0.0101847
104	0.0143367
105	0.00805861
106	0.0097035
108	0.0162686
109	0.0168196
110	0.0225188
111	0.0171171
112	0.0187873
114	0.0173886
115	0.00488177
116	0.0170915
117	0.017094
119	0.0225039
122	0.0107032
123	0.0194589
124	0.0124574
125	0.0109677
126	0.00698413
127	0.0153946
128	0.00885827
130	0.00429338
131	0.0187904
132	0.0110456
135	0.017026
138	0.0216862
141	0.0085613
142	0.0106882
143	0.00748547
145	0.00732759
147	0.0128599
150	0.0151678
151	0.00823266
154	0.0164672
160	0.00927673
162	0.00973852
163	0.0151481
170	0.0116619
171	0.0102511
172	0.0176799
174	0.00112949
178	0.0121882
179	0.0101689
182	0.0120818
189	0.0114826
204	0.00342896
208	0.0137031
212	0.0025038
216	0.00788114
219	0.0102635
220	0.00547945
225	0.0125397
229	0.00831227
236	0.0112514
245	0.00127133
256	0.00563725
283	0.00110267
351	0.00353276
363	0.00823402
384	0.00155026
468	0.000905946
